id,comprador_id,nome_comprador,email_comprador,cpf_comprador,telefone_comprador,pedido_id,produto_id,nome_produto,categoria,preco_unitario,quantidade,total,metodo_pagamento,status_pedido,data_pedido,enderecos_entrega,transportadora,codigo_rastreamento,status_envio,vendedor_id,nome_vendedor,cnpj_vendedor,telefone_vendedor,endereco_vendedor,data_entrega,avaliacao,comentario
11,79,Beatriz Castro,beatriz@email.com,382.305.470-82,(11) 92151-7106,8120,169,Pipoqueira Elétrica,Eletrodomésticos,100.0,2,200.0,Cartão de Crédito,Em Processamento,2025-02-20 13:38:25,"Rua das Magnólias, 852 - Pelotas, RS",FedEx,,Aguardando Processamento,13,Pet Store Plus,52.819.463/0001-91,(63) 96563-7064,"Alameda dos Pets, 1300 - Vitória, ES",,,
12,79,Beatriz Castro,beatriz@email.com,382.305.470-82,(11) 92151-7106,8120,162,Torradeira,Eletrodomésticos,100.0,1,100.0,Pix,Em Processamento,2025-02-20 13:38:25,"Rua das Magnólias, 852 - Pelotas, RS",FedEx,,Aguardando Processamento,13,Pet Store Plus,52.819.463/0001-91,(63) 96563-7064,"Alameda dos Pets, 1300 - Vitória, ES",,,
13,88,Kleber Andrade,kleber@email.com,913.889.148-15,(11) 99715-7188,5818,111,Tablet,Eletrônicos,2000.0,5,10000.0,Cartão de Crédito,Entregue,2025-02-20 13:38:25,"Rua das Laranjeiras, 234 - Manaus, AM",Transportadora Local,TRK58184153,Entregue,7,Home & Design,14.739.582/0001-90,(89) 94726-6982,"Av. da Decoração, 700 - Recife, PE",2025-02-23,1,Atendimento pós-venda ruim.
14,88,Kleber Andrade,kleber@email.com,913.889.148-15,(11) 99715-7188,5818,106,Livro de Programação,Livros,120.0,1,120.0,Cartão de Crédito,Entregue,2025-02-20 13:38:25,"Rua das Laranjeiras, 234 - Manaus, AM",Transportadora Local,TRK58184153,Entregue,7,Home & Design,14.739.582/0001-90,(89) 94726-6982,"Av. da Decoração, 700 - Recife, PE",2025-02-23,3,"Produto regular, atendimento básico."
15,88,Kleber Andrade,kleber@email.com,913.889.148-15,(11) 99715-7188,5818,110,Mochila Executiva,Acessórios,300.0,5,1500.0,Cartão de Crédito,Entregue,2025-02-20 13:38:25,"Rua das Laranjeiras, 234 - Manaus, AM",Transportadora Local,TRK58184153,Entregue,7,Home & Design,14.739.582/0001-90,(89) 94726-6982,"Av. da Decoração, 700 - Recife, PE",2025-02-23,5,Produto com ótima durabilidade.
16,88,Kleber Andrade,kleber@email.com,913.889.148-15,(11) 99715-7188,5818,280,Tens,Saúde,300.0,3,900.0,Pix,Entregue,2025-02-20 13:38:25,"Rua das Laranjeiras, 234 - Manaus, AM",Transportadora Local,TRK58184153,Entregue,7,Home & Design,14.739.582/0001-90,(89) 94726-6982,"Av. da Decoração, 700 - Recife, PE",2025-02-23,4,Entrega com segurança.
17,88,Kleber Andrade,kleber@email.com,913.889.148-15,(11) 99715-7188,5818,261,Circulador de Ar,Eletrodomésticos,250.0,1,250.0,Cartão de Crédito,Entregue,2025-02-20 13:38:25,"Rua das Laranjeiras, 234 - Manaus, AM",Transportadora Local,TRK58184153,Entregue,7,Home & Design,14.739.582/0001-90,(89) 94726-6982,"Av. da Decoração, 700 - Recife, PE",2025-02-23,3,"Produto regular, atendimento básico."
18,8,Helena Rocha,helena@email.com,851.541.467-17,(11) 98298-3836,3177,164,Umidificador,Eletrodomésticos,200.0,2,400.0,Cartão de Crédito,Em Processamento,2025-03-05 13:38:25,"Av. Goiás, 567 - Goiânia, GO",Correios,,Aguardando Processamento,3,Book Haven,67.116.987/0001-64,(21) 98954-8859,"Rua dos Livros, 300 - Curitiba, PR",,,
19,89,Luana Cavalcanti,luana@email.com,717.878.705-23,(11) 97165-1274,8213,271,Barbeador Elétrico,Beleza,250.0,2,500.0,Cartão de Crédito,Entregue,2025-02-11 13:38:25,"Av. das Nações, 159 - Santos, SP",Correios,TRK82131743,Entregue,18,Office Supply,85.416.739/0001-94,(34) 92901-8130,"Rua do Escritório, 1800 - Aracaju, SE",2025-02-17,3,"Produto regular, atendimento básico."
20,89,Luana Cavalcanti,luana@email.com,717.878.705-23,(11) 97165-1274,8213,230,Hub Casa Inteligente,Casa Inteligente,500.0,5,2500.0,Boleto,Entregue,2025-02-11 13:38:25,"Av. das Nações, 159 - Santos, SP",Correios,TRK82131743,Entregue,18,Office Supply,85.416.739/0001-94,(34) 92901-8130,"Rua do Escritório, 1800 - Aracaju, SE",2025-02-17,1,Produto com peças faltando.
21,89,Luana Cavalcanti,luana@email.com,717.878.705-23,(11) 97165-1274,8213,203,Cabo HDMI,Acessórios,50.0,2,100.0,Boleto,Entregue,2025-02-11 13:38:25,"Av. das Nações, 159 - Santos, SP",Correios,TRK82131743,Entregue,18,Office Supply,85.416.739/0001-94,(34) 92901-8130,"Rua do Escritório, 1800 - Aracaju, SE",2025-02-17,5,Processo de compra muito simples.
22,89,Luana Cavalcanti,luana@email.com,717.878.705-23,(11) 97165-1274,8213,270,Escova Elétrica,Beleza,300.0,1,300.0,Boleto,Entregue,2025-02-11 13:38:25,"Av. das Nações, 159 - Santos, SP",Correios,TRK82131743,Entregue,18,Office Supply,85.416.739/0001-94,(34) 92901-8130,"Rua do Escritório, 1800 - Aracaju, SE",2025-02-17,5,Vendedor muito atencioso.
23,89,Luana Cavalcanti,luana@email.com,717.878.705-23,(11) 97165-1274,8213,271,Barbeador Elétrico,Beleza,250.0,5,1250.0,Cartão de Crédito,Entregue,2025-02-11 13:38:25,"Av. das Nações, 159 - Santos, SP",Correios,TRK82131743,Entregue,18,Office Supply,85.416.739/0001-94,(34) 92901-8130,"Rua do Escritório, 1800 - Aracaju, SE",2025-02-17,4,Atendimento impecável do vendedor.
24,12,Maria Oliveira,maria@email.com,878.980.477-83,(11) 93976-8211,4343,208,Carregador USB-C,Acessórios,150.0,2,300.0,Pix,Enviado,2024-12-18 13:38:25,"Av. Beira Rio, 159 - Joinville, SC",DHL,TRK43435806,Em Trânsito,8,Music Pro,29.481.637/0001-52,(65) 95026-2535,"Rua dos Instrumentos, 800 - Brasília, DF",2024-12-21,,
25,12,Maria Oliveira,maria@email.com,878.980.477-83,(11) 93976-8211,4343,109,Mouse Gamer,Informática,350.0,1,350.0,Cartão de Crédito,Enviado,2024-12-18 13:38:25,"Av. Beira Rio, 159 - Joinville, SC",DHL,TRK43435806,Em Trânsito,8,Music Pro,29.481.637/0001-52,(65) 95026-2535,"Rua dos Instrumentos, 800 - Brasília, DF",2024-12-21,,
26,12,Maria Oliveira,maria@email.com,878.980.477-83,(11) 93976-8211,4343,184,Projetor,Eletrônicos,2500.0,4,10000.0,Pix,Enviado,2024-12-18 13:38:25,"Av. Beira Rio, 159 - Joinville, SC",DHL,TRK43435806,Em Trânsito,8,Music Pro,29.481.637/0001-52,(65) 95026-2535,"Rua dos Instrumentos, 800 - Brasília, DF",2024-12-21,,
27,74,Wagner Freitas,wagner@email.com,384.679.888-66,(11) 97965-8528,7155,152,Máquina de Lavar,Eletrodomésticos,2000.0,4,8000.0,Pix,Cancelado,2025-02-17 13:38:25,"Rua das Palmeiras, 78 - Florianópolis, SC",FedEx,,Cancelado,8,Music Pro,29.481.637/0001-52,(65) 95026-2535,"Rua dos Instrumentos, 800 - Brasília, DF",,,
28,74,Wagner Freitas,wagner@email.com,384.679.888-66,(11) 97965-8528,7155,129,Carrinho de Controle,Brinquedos,200.0,5,1000.0,Cartão de Crédito,Cancelado,2025-02-17 13:38:25,"Rua das Palmeiras, 78 - Florianópolis, SC",FedEx,,Cancelado,8,Music Pro,29.481.637/0001-52,(65) 95026-2535,"Rua dos Instrumentos, 800 - Brasília, DF",,,
29,74,Wagner Freitas,wagner@email.com,384.679.888-66,(11) 97965-8528,7155,215,Microfone USB,Informática,300.0,5,1500.0,Pix,Cancelado,2025-02-17 13:38:25,"Rua das Palmeiras, 78 - Florianópolis, SC",FedEx,,Cancelado,8,Music Pro,29.481.637/0001-52,(65) 95026-2535,"Rua dos Instrumentos, 800 - Brasília, DF",,,
30,74,Wagner Freitas,wagner@email.com,384.679.888-66,(11) 97965-8528,7155,114,Webcam HD,Informática,300.0,4,1200.0,Boleto,Cancelado,2025-02-17 13:38:25,"Rua das Palmeiras, 78 - Florianópolis, SC",FedEx,,Cancelado,8,Music Pro,29.481.637/0001-52,(65) 95026-2535,"Rua dos Instrumentos, 800 - Brasília, DF",,,
31,10,Juliana Alves,juliana@email.com,477.773.276-89,(11) 99163-1267,7359,287,Bola de Pilates,Esportes,100.0,4,400.0,Cartão de Crédito,Aprovado,2025-01-09 13:38:25,"Praça da Liberdade, 45 - Belo Horizonte, MG",DHL,TRK73593881,Em Separação,18,Office Supply,85.416.739/0001-94,(34) 92901-8130,"Rua do Escritório, 1800 - Aracaju, SE",,,
32,91,Nicole Monteiro,nicole@email.com,194.263.977-37,(11) 91388-1588,9496,141,Console de Videogame,Eletrônicos,4000.0,3,12000.0,Pix,Aprovado,2025-02-24 13:38:25,"Rua das Violetas, 258 - São Luís, MA",FedEx,TRK94963284,Em Separação,18,Office Supply,85.416.739/0001-94,(34) 92901-8130,"Rua do Escritório, 1800 - Aracaju, SE",,,
33,91,Nicole Monteiro,nicole@email.com,194.263.977-37,(11) 91388-1588,9496,284,Remo,Esportes,3000.0,4,12000.0,Cartão de Crédito,Aprovado,2025-02-24 13:38:25,"Rua das Violetas, 258 - São Luís, MA",FedEx,TRK94963284,Em Separação,18,Office Supply,85.416.739/0001-94,(34) 92901-8130,"Rua do Escritório, 1800 - Aracaju, SE",,,
34,91,Nicole Monteiro,nicole@email.com,194.263.977-37,(11) 91388-1588,9496,300,Munhequeira,Esportes,50.0,4,200.0,Cartão de Crédito,Aprovado,2025-02-24 13:38:25,"Rua das Violetas, 258 - São Luís, MA",FedEx,TRK94963284,Em Separação,18,Office Supply,85.416.739/0001-94,(34) 92901-8130,"Rua do Escritório, 1800 - Aracaju, SE",,,
35,6,Fernanda Souza,fernanda@email.com,125.208.187-73,(11) 95029-6165,4141,218,Volante para Games,Games,1000.0,1,1000.0,Pix,Aprovado,2025-01-22 13:38:25,"Av. Atlântica, 741 - Volta Redonda, RJ",FedEx,TRK41416861,Em Separação,5,PC Master,88.553.927/0001-47,(96) 92292-5500,"Av. da Tecnologia, 500 - Porto Alegre, RS",,,
36,6,Fernanda Souza,fernanda@email.com,125.208.187-73,(11) 95029-6165,4141,243,Vaso Decorativo,Casa e Decoração,150.0,5,750.0,Pix,Aprovado,2025-01-22 13:38:25,"Av. Atlântica, 741 - Volta Redonda, RJ",FedEx,TRK41416861,Em Separação,5,PC Master,88.553.927/0001-47,(96) 92292-5500,"Av. da Tecnologia, 500 - Porto Alegre, RS",,,
37,6,Fernanda Souza,fernanda@email.com,125.208.187-73,(11) 95029-6165,4141,224,Alarme Residencial,Segurança,600.0,2,1200.0,Cartão de Crédito,Aprovado,2025-01-22 13:38:25,"Av. Atlântica, 741 - Volta Redonda, RJ",FedEx,TRK41416861,Em Separação,5,PC Master,88.553.927/0001-47,(96) 92292-5500,"Av. da Tecnologia, 500 - Porto Alegre, RS",,,
38,6,Fernanda Souza,fernanda@email.com,125.208.187-73,(11) 95029-6165,4141,296,Protetor Bucal,Esportes,50.0,5,250.0,Boleto,Aprovado,2025-01-22 13:38:25,"Av. Atlântica, 741 - Volta Redonda, RJ",FedEx,TRK41416861,Em Separação,5,PC Master,88.553.927/0001-47,(96) 92292-5500,"Av. da Tecnologia, 500 - Porto Alegre, RS",,,
39,6,Fernanda Souza,fernanda@email.com,125.208.187-73,(11) 95029-6165,4141,296,Protetor Bucal,Esportes,50.0,5,250.0,Boleto,Aprovado,2025-01-22 13:38:25,"Av. Atlântica, 741 - Volta Redonda, RJ",FedEx,TRK41416861,Em Separação,5,PC Master,88.553.927/0001-47,(96) 92292-5500,"Av. da Tecnologia, 500 - Porto Alegre, RS",,,
40,10,Juliana Alves,juliana@email.com,477.773.276-89,(11) 99163-1267,2649,294,Saco de Pancada,Esportes,300.0,2,600.0,Boleto,Cancelado,2025-02-01 13:38:25,"Av. Afonso Pena, 753 - Boa Vista, RR",DHL,,Cancelado,3,Book Haven,67.116.987/0001-64,(21) 98954-8859,"Rua dos Livros, 300 - Curitiba, PR",,,
41,10,Juliana Alves,juliana@email.com,477.773.276-89,(11) 99163-1267,2649,142,Jogo Digital,Games,299.9,3,899.6999999999999,Boleto,Cancelado,2025-02-01 13:38:25,"Av. Afonso Pena, 753 - Boa Vista, RR",DHL,,Cancelado,3,Book Haven,67.116.987/0001-64,(21) 98954-8859,"Rua dos Livros, 300 - Curitiba, PR",,,
42,10,Juliana Alves,juliana@email.com,477.773.276-89,(11) 99163-1267,2649,150,Geladeira,Eletrodomésticos,3000.0,1,3000.0,Boleto,Cancelado,2025-02-01 13:38:25,"Av. Afonso Pena, 753 - Boa Vista, RR",DHL,,Cancelado,3,Book Haven,67.116.987/0001-64,(21) 98954-8859,"Rua dos Livros, 300 - Curitiba, PR",,,
43,10,Juliana Alves,juliana@email.com,477.773.276-89,(11) 99163-1267,2649,246,Manta,Casa e Decoração,120.0,4,480.0,Boleto,Cancelado,2025-02-01 13:38:25,"Av. Afonso Pena, 753 - Boa Vista, RR",DHL,,Cancelado,3,Book Haven,67.116.987/0001-64,(21) 98954-8859,"Rua dos Livros, 300 - Curitiba, PR",,,
44,80,Caio Sousa,caio@email.com,250.736.957-21,(11) 91514-1584,4979,121,Tênis de Corrida,Esportes,450.0,2,900.0,Cartão de Crédito,Aprovado,2025-03-06 13:38:25,"Av. dos Andradas, 963 - Uberlândia, MG",Correios,TRK49791827,Em Separação,12,Gourmet Express,37.582.916/0001-84,(29) 99057-6265,"Rua da Gastronomia, 1200 - Florianópolis, SC",,,
45,80,Caio Sousa,caio@email.com,250.736.957-21,(11) 91514-1584,4979,243,Vaso Decorativo,Casa e Decoração,150.0,1,150.0,Cartão de Crédito,Aprovado,2025-03-06 13:38:25,"Av. dos Andradas, 963 - Uberlândia, MG",Correios,TRK49791827,Em Separação,12,Gourmet Express,37.582.916/0001-84,(29) 99057-6265,"Rua da Gastronomia, 1200 - Florianópolis, SC",,,
46,49,Ximena Borges,ximena@email.com,211.125.746-27,(11) 97326-1746,9628,185,Receptor Digital,Eletrônicos,300.0,2,600.0,Pix,Aprovado,2025-02-02 13:38:25,"Av. Presidente Vargas, 369 - Belém, PA",Correios,TRK96285074,Em Separação,12,Gourmet Express,37.582.916/0001-84,(29) 99057-6265,"Rua da Gastronomia, 1200 - Florianópolis, SC",,,
47,32,Gabriela Duarte,gabriela@email.com,113.327.924-17,(11) 99944-9878,8564,147,Ventilador,Eletrodomésticos,150.0,5,750.0,Pix,Enviado,2024-12-18 13:38:25,"Alameda Santos, 300 - São Paulo, SP",DHL,TRK85648990,Em Trânsito,8,Music Pro,29.481.637/0001-52,(65) 95026-2535,"Rua dos Instrumentos, 800 - Brasília, DF",2024-12-20,,
48,32,Gabriela Duarte,gabriela@email.com,113.327.924-17,(11) 99944-9878,8564,285,Step,Esportes,150.0,4,600.0,Pix,Enviado,2024-12-18 13:38:25,"Alameda Santos, 300 - São Paulo, SP",DHL,TRK85648990,Em Trânsito,8,Music Pro,29.481.637/0001-52,(65) 95026-2535,"Rua dos Instrumentos, 800 - Brasília, DF",2024-12-20,,
49,74,Wagner Freitas,wagner@email.com,384.679.888-66,(11) 97965-8528,5384,201,Cooler para Processador,Informática,200.0,5,1000.0,Boleto,Cancelado,2025-02-21 13:38:25,"Rua das Laranjeiras, 234 - Manaus, AM",Transportadora Local,,Cancelado,20,Digital World,59.183.746/0001-28,(32) 92657-6953,"Rua Digital, 2000 - São Luís, MA",,,
50,74,Wagner Freitas,wagner@email.com,384.679.888-66,(11) 97965-8528,5384,179,Adega,Eletrodomésticos,1500.0,2,3000.0,Boleto,Cancelado,2025-02-21 13:38:25,"Rua das Laranjeiras, 234 - Manaus, AM",Transportadora Local,,Cancelado,20,Digital World,59.183.746/0001-28,(32) 92657-6953,"Rua Digital, 2000 - São Luís, MA",,,
51,74,Wagner Freitas,wagner@email.com,384.679.888-66,(11) 97965-8528,5384,104,Câmera DSLR,Fotografia,2800.0,4,11200.0,Cartão de Crédito,Cancelado,2025-02-21 13:38:25,"Rua das Laranjeiras, 234 - Manaus, AM",Transportadora Local,,Cancelado,20,Digital World,59.183.746/0001-28,(32) 92657-6953,"Rua Digital, 2000 - São Luís, MA",,,
52,74,Wagner Freitas,wagner@email.com,384.679.888-66,(11) 97965-8528,5384,252,Bandeja,Casa e Decoração,70.0,1,70.0,Pix,Cancelado,2025-02-21 13:38:25,"Rua das Laranjeiras, 234 - Manaus, AM",Transportadora Local,,Cancelado,20,Digital World,59.183.746/0001-28,(32) 92657-6953,"Rua Digital, 2000 - São Luís, MA",,,
53,74,Wagner Freitas,wagner@email.com,384.679.888-66,(11) 97965-8528,5384,289,Halter,Esportes,100.0,1,100.0,Cartão de Crédito,Cancelado,2025-02-21 13:38:25,"Rua das Laranjeiras, 234 - Manaus, AM",Transportadora Local,,Cancelado,20,Digital World,59.183.746/0001-28,(32) 92657-6953,"Rua Digital, 2000 - São Luís, MA",,,
54,39,Nicolas Sousa,nicolas@email.com,765.273.807-79,(11) 92331-1553,4016,272,Aparador de Pelos,Beleza,150.0,5,750.0,Pix,Aprovado,2025-01-21 13:38:25,"Av. Rio Branco, 852 - Campinas, SP",DHL,TRK40167377,Em Separação,10,Kids Paradise,83.157.492/0001-38,(43) 94292-4504,"Rua dos Brinquedos, 1000 - Manaus, AM",,,
55,45,Tiago Ramos,tiago@email.com,809.949.754-40,(11) 93157-3884,7252,182,Home Theater,Eletrônicos,1500.0,4,6000.0,Cartão de Crédito,Enviado,2024-12-18 13:38:25,"Av. dos Imigrantes, 357 - Caxias do Sul, RS",Transportadora Local,TRK72523463,Em Trânsito,14,Garden Center,76.143.928/0001-62,(80) 94626-7982,"Rua do Jardim, 1400 - Natal, RN",2024-12-19,,
56,45,Tiago Ramos,tiago@email.com,809.949.754-40,(11) 93157-3884,7252,134,Kit Maquiagem,Beleza,450.0,1,450.0,Pix,Enviado,2024-12-18 13:38:25,"Av. dos Imigrantes, 357 - Caxias do Sul, RS",Transportadora Local,TRK72523463,Em Trânsito,14,Garden Center,76.143.928/0001-62,(80) 94626-7982,"Rua do Jardim, 1400 - Natal, RN",2024-12-19,,
57,45,Tiago Ramos,tiago@email.com,809.949.754-40,(11) 93157-3884,7252,292,Banco de Supino,Esportes,800.0,4,3200.0,Cartão de Crédito,Enviado,2024-12-18 13:38:25,"Av. dos Imigrantes, 357 - Caxias do Sul, RS",Transportadora Local,TRK72523463,Em Trânsito,14,Garden Center,76.143.928/0001-62,(80) 94626-7982,"Rua do Jardim, 1400 - Natal, RN",2024-12-19,,
58,89,Luana Cavalcanti,luana@email.com,717.878.705-23,(11) 97165-1274,6796,170,Iogurteira,Eletrodomésticos,150.0,1,150.0,Cartão de Crédito,Entregue,2025-01-27 13:38:25,"Av. Paulista, 1000 - São Paulo, SP",FedEx,TRK67961360,Entregue,15,Art Gallery,94.267.581/0001-37,(17) 97147-6158,"Av. das Artes, 1500 - João Pessoa, PB",2025-02-03,5,"Produto excelente, superou as expectativas!"
59,20,Ursula Mendes,ursula@email.com,536.139.681-45,(11) 93763-3352,5958,130,Camiseta,Vestuário,89.9,4,359.6,Cartão de Crédito,Cancelado,2025-03-03 13:38:25,"Av. Amazonas, 432 - Campo Grande, MS",Transportadora Local,,Cancelado,9,Beauty Box,45.926.184/0001-73,(91) 99579-5271,"Alameda da Beleza, 900 - Fortaleza, CE",,,
60,20,Ursula Mendes,ursula@email.com,536.139.681-45,(11) 93763-3352,5958,207,Adaptador USB-C,Acessórios,90.0,4,360.0,Boleto,Cancelado,2025-03-03 13:38:25,"Av. Amazonas, 432 - Campo Grande, MS",Transportadora Local,,Cancelado,9,Beauty Box,45.926.184/0001-73,(91) 99579-5271,"Alameda da Beleza, 900 - Fortaleza, CE",,,
61,20,Ursula Mendes,ursula@email.com,536.139.681-45,(11) 93763-3352,5958,289,Halter,Esportes,100.0,1,100.0,Cartão de Crédito,Cancelado,2025-03-03 13:38:25,"Av. Amazonas, 432 - Campo Grande, MS",Transportadora Local,,Cancelado,9,Beauty Box,45.926.184/0001-73,(91) 99579-5271,"Alameda da Beleza, 900 - Fortaleza, CE",,,
62,86,Ícaro Ramos,icaro@email.com,725.799.242-47,(11) 98012-8864,8594,277,Oxímetro,Saúde,150.0,2,300.0,Pix,Em Processamento,2025-01-13 13:38:25,"Rua das Palmeiras, 78 - Florianópolis, SC",FedEx,,Aguardando Processamento,14,Garden Center,76.143.928/0001-62,(80) 94626-7982,"Rua do Jardim, 1400 - Natal, RN",,,
63,86,Ícaro Ramos,icaro@email.com,725.799.242-47,(11) 98012-8864,8594,119,SSD 1TB,Informática,700.0,3,2100.0,Pix,Em Processamento,2025-01-13 13:38:25,"Rua das Palmeiras, 78 - Florianópolis, SC",FedEx,,Aguardando Processamento,14,Garden Center,76.143.928/0001-62,(80) 94626-7982,"Rua do Jardim, 1400 - Natal, RN",,,
64,86,Ícaro Ramos,icaro@email.com,725.799.242-47,(11) 98012-8864,8594,112,Impressora,Informática,800.0,1,800.0,Boleto,Em Processamento,2025-01-13 13:38:25,"Rua das Palmeiras, 78 - Florianópolis, SC",FedEx,,Aguardando Processamento,14,Garden Center,76.143.928/0001-62,(80) 94626-7982,"Rua do Jardim, 1400 - Natal, RN",,,
65,88,Kleber Andrade,kleber@email.com,913.889.148-15,(11) 99715-7188,1274,191,Roteador Wi-Fi,Informática,300.0,2,600.0,Boleto,Cancelado,2025-03-03 13:38:25,"Av. das Palmeiras, 741 - Canoas, RS",FedEx,,Cancelado,19,Eco Store,27.594.831/0001-42,(47) 93059-6818,"Av. Sustentável, 1900 - Belém, PA",,,
66,88,Kleber Andrade,kleber@email.com,913.889.148-15,(11) 99715-7188,1274,259,Ventilador de Mesa,Eletrodomésticos,150.0,5,750.0,Boleto,Cancelado,2025-03-03 13:38:25,"Av. das Palmeiras, 741 - Canoas, RS",FedEx,,Cancelado,19,Eco Store,27.594.831/0001-42,(47) 93059-6818,"Av. Sustentável, 1900 - Belém, PA",,,
67,88,Kleber Andrade,kleber@email.com,913.889.148-15,(11) 99715-7188,1274,188,Chromecast,Eletrônicos,300.0,2,600.0,Cartão de Crédito,Cancelado,2025-03-03 13:38:25,"Av. das Palmeiras, 741 - Canoas, RS",FedEx,,Cancelado,19,Eco Store,27.594.831/0001-42,(47) 93059-6818,"Av. Sustentável, 1900 - Belém, PA",,,
68,88,Kleber Andrade,kleber@email.com,913.889.148-15,(11) 99715-7188,1274,278,Termômetro Digital,Saúde,80.0,3,240.0,Pix,Cancelado,2025-03-03 13:38:25,"Av. das Palmeiras, 741 - Canoas, RS",FedEx,,Cancelado,19,Eco Store,27.594.831/0001-42,(47) 93059-6818,"Av. Sustentável, 1900 - Belém, PA",,,
69,88,Kleber Andrade,kleber@email.com,913.889.148-15,(11) 99715-7188,1274,103,Fone Bluetooth,Acessórios,250.0,2,500.0,Boleto,Cancelado,2025-03-03 13:38:25,"Av. das Palmeiras, 741 - Canoas, RS",FedEx,,Cancelado,19,Eco Store,27.594.831/0001-42,(47) 93059-6818,"Av. Sustentável, 1900 - Belém, PA",,,
